grafana  | logger=migrator t=2026-03-15T12:18:53.54051316Z level=info msg="Migration successfully executed" id="drop index UQE_user_email - v1" duration=380.103µs
grafana  | logger=migrator t=2026-03-15T12:18:53.545778582Z level=info msg="Executing migration" id="Rename table user to user_v1 - v1"
grafana  | logger=migrator t=2026-03-15T12:18:53.546862923Z level=info msg="Migration successfully executed" id="Rename table user to user_v1 - v1" duration=1.084367ms
grafana  | logger=migrator t=2026-03-15T12:18:53.55206677Z level=info msg="Executing migration" id="create user table v2"
grafana  | logger=migrator t=2026-03-15T12:18:53.552419453Z level=info msg="Migration successfully executed" id="create user table v2" duration=352.605µs
grafana  | logger=migrator t=2026-03-15T12:18:53.557919529Z level=info msg="Executing migration" id="create index UQE_user_login - v2"
grafana  | logger=migrator t=2026-03-15T12:18:53.558312319Z level=info msg="Migration successfully executed" id="create index UQE_user_login - v2" duration=392.281µs
grafana  | logger=migrator t=2026-03-15T12:18:53.563542147Z level=info msg="Executing migration" id="create index UQE_user_email - v2"
grafana  | logger=migrator t=2026-03-15T12:18:53.563906415Z level=info msg="Migration successfully executed" id="create index UQE_user_email - v2" duration=363.646µs
grafana  | logger=migrator t=2026-03-15T12:18:53.56903236Z level=info msg="Executing migration" id="copy data_source v1 to v2"
grafana  | logger=migrator t=2026-03-15T12:18:53.569209009Z level=info msg="Migration successfully executed" id="copy data_source v1 to v2" duration=177.173µs
grafana  | logger=migrator t=2026-03-15T12:18:53.574366058Z level=info msg="Executing migration" id="Drop old table user_v1"
grafana  | logger=migrator t=2026-03-15T12:18:53.574668368Z level=info msg="Migration successfully executed" id="Drop old table user_v1" duration=303.286µs
grafana  | logger=migrator t=2026-03-15T12:18:53.580215832Z level=info msg="Executing migration" id="Add column help_flags1 to user table"
grafana  | logger=migrator t=2026-03-15T12:18:53.580995763Z level=info msg="Migration successfully executed" id="Add column help_flags1 to user table" duration=780.211µs
grafana  | logger=migrator t=2026-03-15T12:18:53.586917809Z level=info msg="Executing migration" id="Update user table charset"
grafana  | logger=migrator t=2026-03-15T12:18:53.586956876Z level=info msg="Migration successfully executed" id="Update user table charset" duration=41.175µs
grafana  | logger=migrator t=2026-03-15T12:18:53.592673263Z level=info msg="Executing migration" id="Add last_seen_at column to user"
grafana  | logger=migrator t=2026-03-15T12:18:53.593400071Z level=info msg="Migration successfully executed" id="Add last_seen_at column to user" duration=726.979µs
grafana  | logger=migrator t=2026-03-15T12:18:53.598763606Z level=info msg="Executing migration" id="Add missing user data"
grafana  | logger=migrator t=2026-03-15T12:18:53.59894148Z level=info msg="Migration successfully executed" id="Add missing user data" duration=179.231µs
grafana  | logger=migrator t=2026-03-15T12:18:53.604071871Z level=info msg="Executing migration" id="Add is_disabled column to user"
grafana  | logger=migrator t=2026-03-15T12:18:53.604699563Z level=info msg="Migration successfully executed" id="Add is_disabled column to user" duration=627.628µs
grafana  | logger=migrator t=2026-03-15T12:18:53.610052793Z level=info msg="Executing migration" id="Add index user.login/user.email"
grafana  | logger=migrator t=2026-03-15T12:18:53.610488997Z level=info msg="Migration successfully executed" id="Add index user.login/user.email" duration=437.692µs
grafana  | logger=migrator t=2026-03-15T12:18:53.615706195Z level=info msg="Executing migration" id="Add is_service_account column to user"
grafana  | logger=migrator t=2026-03-15T12:18:53.616356233Z level=info msg="Migration successfully executed" id="Add is_service_account column to user" duration=649.262µs
grafana  | logger=migrator t=2026-03-15T12:18:53.621515Z level=info msg="Executing migration" id="Update is_service_account column to nullable"
grafana  | logger=migrator t=2026-03-15T12:18:53.624551298Z level=info msg="Migration successfully executed" id="Update is_service_account column to nullable" duration=3.037822ms
grafana  | logger=migrator t=2026-03-15T12:18:53.63011782Z level=info msg="Executing migration" id="Add uid column to user"
grafana  | logger=migrator t=2026-03-15T12:18:53.630819785Z level=info msg="Migration successfully executed" id="Add uid column to user" duration=701.502µs
grafana  | logger=migrator t=2026-03-15T12:18:53.636138171Z level=info msg="Executing migration" id="Update uid column values for users"
grafana  | logger=migrator t=2026-03-15T12:18:53.636274051Z level=info msg="Migration successfully executed" id="Update uid column values for users" duration=136.741µs
grafana  | logger=migrator t=2026-03-15T12:18:53.641546241Z level=info msg="Executing migration" id="Make sure users uid are set"
grafana  | logger=migrator t=2026-03-15T12:18:53.641721356Z level=info msg="Migration successfully executed" id="Make sure users uid are set" duration=176.343µs
grafana  | logger=migrator t=2026-03-15T12:18:53.647301082Z level=info msg="Executing migration" id="Add unique index user_uid"
grafana  | logger=migrator t=2026-03-15T12:18:53.647732838Z level=info msg="Migration successfully executed" id="Add unique index user_uid" duration=431.013µs
grafana  | logger=migrator t=2026-03-15T12:18:53.653061066Z level=info msg="Executing migration" id="Add is_provisioned column to user"
grafana  | logger=migrator t=2026-03-15T12:18:53.653695492Z level=info msg="Migration successfully executed" id="Add is_provisioned column to user" duration=634.014µs
grafana  | logger=migrator t=2026-03-15T12:18:53.659188185Z level=info msg="Executing migration" id="update login field with orgid to allow for multiple service accounts with same name across orgs"
grafana  | logger=migrator t=2026-03-15T12:18:53.659389717Z level=info msg="Migration successfully executed" id="update login field with orgid to allow for multiple service accounts with same name across orgs" duration=202.104µs
grafana  | logger=migrator t=2026-03-15T12:18:53.664642292Z level=info msg="Executing migration" id="update service accounts login field orgid to appear only once"
grafana  | logger=migrator t=2026-03-15T12:18:53.665016711Z level=info msg="Migration successfully executed" id="update service accounts login field orgid to appear only once" duration=373.834µs
grafana  | logger=migrator t=2026-03-15T12:18:53.670153129Z level=info msg="Executing migration" id="update login and email fields to lowercase"
grafana  | logger=migrator t=2026-03-15T12:18:53.670397991Z level=info msg="Migration successfully executed" id="update login and email fields to lowercase" duration=243.687µs
grafana  | logger=migrator t=2026-03-15T12:18:53.675684609Z level=info msg="Executing migration" id="update login and email fields to lowercase2"
grafana  | logger=migrator t=2026-03-15T12:18:53.675919768Z level=info msg="Migration successfully executed" id="update login and email fields to lowercase2" duration=235.826µs
grafana  | logger=migrator t=2026-03-15T12:18:53.681282Z level=info msg="Executing migration" id="Add index on user.is_service_account and user.last_seen_at"
grafana  | logger=migrator t=2026-03-15T12:18:53.681667551Z level=info msg="Migration successfully executed" id="Add index on user.is_service_account and user.last_seen_at" duration=381.504µs
grafana  | logger=migrator t=2026-03-15T12:18:53.687018991Z level=info msg="Executing migration" id="Expand user.uid length to 190"
grafana  | logger=migrator t=2026-03-15T12:18:53.687061269Z level=info msg="Migration successfully executed" id="Expand user.uid length to 190" duration=43.074µs
grafana  | logger=migrator t=2026-03-15T12:18:53.692713869Z level=info msg="Executing migration" id="Prefix SCIM uid for provisioned users"
grafana  | logger=migrator t=2026-03-15T12:18:53.692877084Z level=info msg="Migration successfully executed" id="Prefix SCIM uid for provisioned users" duration=163.973µs
grafana  | logger=migrator t=2026-03-15T12:18:53.698312508Z level=info msg="Executing migration" id="create temp user table v1-7"
grafana  | logger=migrator t=2026-03-15T12:18:53.69865897Z level=info msg="Migration successfully executed" id="create temp user table v1-7" duration=346.121µs
grafana  | logger=migrator t=2026-03-15T12:18:53.704298585Z level=info msg="Executing migration" id="create index IDX_temp_user_email - v1-7"
grafana  | logger=migrator t=2026-03-15T12:18:53.704720609Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_email - v1-7" duration=423.042µs
grafana  | logger=migrator t=2026-03-15T12:18:53.710315142Z level=info msg="Executing migration" id="create index IDX_temp_user_org_id - v1-7"
grafana  | logger=migrator t=2026-03-15T12:18:53.710731536Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_org_id - v1-7" duration=416.286µs
grafana  | logger=migrator t=2026-03-15T12:18:53.715998878Z level=info msg="Executing migration" id="create index IDX_temp_user_code - v1-7"
grafana  | logger=migrator t=2026-03-15T12:18:53.716386994Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_code - v1-7" duration=387.982µs
grafana  | logger=migrator t=2026-03-15T12:18:53.721862271Z level=info msg="Executing migration" id="create index IDX_temp_user_status - v1-7"
grafana  | logger=migrator t=2026-03-15T12:18:53.722251586Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_status - v1-7" duration=388.848µs
grafana  | logger=migrator t=2026-03-15T12:18:53.727892337Z level=info msg="Executing migration" id="Update temp_user table charset"
grafana  | logger=migrator t=2026-03-15T12:18:53.727926333Z level=info msg="Migration successfully executed" id="Update temp_user table charset" duration=35.655µs
grafana  | logger=migrator t=2026-03-15T12:18:53.73336074Z level=info msg="Executing migration" id="drop index IDX_temp_user_email - v1"
grafana  | logger=migrator t=2026-03-15T12:18:53.733773458Z level=info msg="Migration successfully executed" id="drop index IDX_temp_user_email - v1" duration=412µs
grafana  | logger=migrator t=2026-03-15T12:18:53.739094456Z level=info msg="Executing migration" id="drop index IDX_temp_user_org_id - v1"
grafana  | logger=migrator t=2026-03-15T12:18:53.739448935Z level=info msg="Migration successfully executed" id="drop index IDX_temp_user_org_id - v1" duration=354.251µs
grafana  | logger=migrator t=2026-03-15T12:18:53.746826449Z level=info msg="Executing migration" id="drop index IDX_temp_user_code - v1"
grafana  | logger=migrator t=2026-03-15T12:18:53.747246458Z level=info msg="Migration successfully executed" id="drop index IDX_temp_user_code - v1" duration=420.341µs
grafana  | logger=migrator t=2026-03-15T12:18:53.752443251Z level=info msg="Executing migration" id="drop index IDX_temp_user_status - v1"
grafana  | logger=migrator t=2026-03-15T12:18:53.75275949Z level=info msg="Migration successfully executed" id="drop index IDX_temp_user_status - v1" duration=315.833µs
grafana  | logger=migrator t=2026-03-15T12:18:53.757816664Z level=info msg="Executing migration" id="Rename table temp_user to temp_user_tmp_qwerty - v1"
grafana  | logger=migrator t=2026-03-15T12:18:53.759010875Z level=info msg="Migration successfully executed" id="Rename table temp_user to temp_user_tmp_qwerty - v1" duration=1.193764ms
grafana  | logger=migrator t=2026-03-15T12:18:53.764029904Z level=info msg="Executing migration" id="create temp_user v2"
grafana  | logger=migrator t=2026-03-15T12:18:53.764340503Z level=info msg="Migration successfully executed" id="create temp_user v2" duration=310.51µs
